screen name,average # tweets per day
jamesdeen,3.3548387096774195
adriannalunaxxx,9.17741935483871
clubalektrablue,9.725806451612904
alexismonroexxx,5.55
alexis_texas,5.459016393442623
alliehaze,8.370967741935484
anafoxxx,7.82258064516129
andysandimas,10.46774193548387
anikkaalbrite,14.387096774193548
asaakira,1.35
bobbistarr,1.1896551724137931
thebonnierotten,25.0
xxxbrendon,3.316666666666667
brooklynleexxx,25.35483870967742
cassandra_nix,2.1451612903225805
chanelpreston,8.306451612903226
iluvchristie,15.758064516129032
danecross,13.096774193548388
missdanidaniels,43.33870967741935
dpiercexxx,10.193548387096774
eric_john,27.274193548387096
ericmastersonx,1.3548387096774193
erik_everhard,0.8
evanstonexxx,3.596774193548387
glamchowdr,2.4791666666666665
msindiasummer,12.5
jessieslife,17.048387096774192
itsjessierogers,5.983870967741935
kagneytweets,3.278688524590164
itskarinawhite,23.467741935483872
kayden_kross,6.967741935483871
kaylani_lei,3.1774193548387095
keiranlee,36.38709677419355
kendallkarsonxo,9.14516129032258
kristinarosexxx,21.612903225806452
leilani_leeane,0.6666666666666666
omgitslexi,10.919354838709678
lexsteele11,2.1016949152542375
lilylabeau,2.9193548387096775
maddyoreillyxxx,19.483870967741936
themandingoclub,13.387096774193548
manuelferrara,8.709677419354838
marcuslondon,6.645161290322581
melina_mason,7.016129032258065
mickbluexxx,3.8548387096774195
mollybennett93,0.13559322033898305
mrpetexxx,5.983870967741935
missnatashanice,6.672131147540983
xnicoleanistonx,16.43548387096774
nyomibanxxx,5.524590163934426
penny_pax,9.306451612903226
presleyhartxxx,15.870967741935484
spearstv,0.3387096774193548
remymeow,6.241935483870968
richiesbrain,1.0677966101694916
imrichiedeville,6.098360655737705
rileyreidx3,9.451612903225806
misssaintxxx,7.919354838709677
sethgamblexxx,1.0806451612903225
siripornstar,12.338709677419354
skin_diamond,12.290322580645162
stevenstcroix1,3.4516129032258065
stevieshaexxx,13.693548387096774
tashareign,55.62068965517241
itstessalane,42.45161290322581
tommygunnxxx,4.491803278688525
tommypistol,4.161290322580645
trinitystclair,28.79032258064516
xcorvus777,3.9193548387096775
